File Name,Frame,Timestamp,Focus,Cognitive Demand,Engagement,Memory
Hugo_Sanchez,86,00:00:03.541,38.6,26.0,14.0,29.5
Hugo_Sanchez,87,00:00:03.583,36.8,26.4,14.3,29.7
Hugo_Sanchez,88,00:00:03.625,35.8,26.4,14.8,30.1
Hugo_Sanchez,89,00:00:03.666,35.9,25.5,15.6,30.9
Hugo_Sanchez,90,00:00:03.708,37.2,25.5,16.9,32.3
Hugo_Sanchez,91,00:00:03.750,38.2,25.9,18.7,34.4
Hugo_Sanchez,92,00:00:03.791,38.6,26.2,21.0,37.3
Hugo_Sanchez,93,00:00:03.833,38.7,26.4,23.9,41.0
Hugo_Sanchez,94,00:00:03.875,39.0,26.8,27.0,45.3
Hugo_Sanchez,95,00:00:03.916,38.3,26.9,30.4,49.9
Hugo_Sanchez,96,00:00:03.958,38.4,27.1,33.7,54.5
Hugo_Sanchez,97,00:00:04.000,43.0,52.4,36.8,58.8
Hugo_Sanchez,98,00:00:04.041,45.2,52.9,39.5,62.4
Hugo_Sanchez,99,00:00:04.083,45.9,53.2,41.6,65.3
Hugo_Sanchez,100,00:00:04.125,49.0,53.7,43.2,67.5
Hugo_Sanchez,101,00:00:04.166,52.9,54.1,44.4,68.9
Hugo_Sanchez,102,00:00:04.208,56.0,54.0,45.1,69.8
Hugo_Sanchez,103,00:00:04.250,57.8,54.0,45.5,70.2
Hugo_Sanchez,104,00:00:04.291,58.5,54.4,45.7,70.2
Hugo_Sanchez,105,00:00:04.333,58.4,54.9,45.7,69.9
Hugo_Sanchez,106,00:00:04.375,57.6,54.8,45.7,69.2
Hugo_Sanchez,107,00:00:04.416,56.5,54.6,45.7,68.1
Hugo_Sanchez,108,00:00:04.458,54.9,54.9,45.9,66.6
Hugo_Sanchez,109,00:00:04.500,52.5,55.4,46.2,64.8
Hugo_Sanchez,110,00:00:04.541,49.6,55.0,46.7,62.8
Hugo_Sanchez,111,00:00:04.583,46.7,54.6,47.4,60.9
Hugo_Sanchez,112,00:00:04.625,43.8,54.3,48.5,59.1
Hugo_Sanchez,113,00:00:04.666,40.7,30.3,49.7,57.8
Hugo_Sanchez,114,00:00:04.708,37.8,35.7,51.0,57.0
Hugo_Sanchez,115,00:00:04.750,34.7,33.1,52.3,56.7
Hugo_Sanchez,116,00:00:04.791,31.5,32.9,53.4,56.8
Hugo_Sanchez,117,00:00:04.833,29.4,32.7,54.4,57.1
Hugo_Sanchez,118,00:00:04.875,28.8,32.9,55.1,57.4
Hugo_Sanchez,119,00:00:04.916,27.1,33.0,55.5,57.5
Hugo_Sanchez,120,00:00:04.958,29.7,33.1,55.8,57.4
Hugo_Sanchez,121,00:00:05.000,39.4,33.1,56.0,56.8
Hugo_Sanchez,122,00:00:05.041,39.5,33.1,56.1,56.0
